Entity,Code,Primo caso,Inizio epidemia,Giorni,31/01/20,10/02/20,20/02/20,29/02/20,10/03/20,20/03/20,31/03/20,10/04/20,20/04/20,30/04/20,10/05/20,20/05/20,31/05/20,10/06/20,20/06/20,30/06/20,10/07/20,20/07/20,31/07/20,10/08/20,20/08/20,31/08/20,10/09/20,20/09/20,30/09/20,10/10/20,20/10/20,31/10/20,10/11/20,20/11/20,30/11/20,10/12/20,20/12/20,31/12/20,10/01/21,20/01/21,31/01/21,10/02/21,20/02/21,28/02/21,10/03/21,20/03/21,31/03/21
Somalia,SOM,16/03/2020,17/04/2020,280,0,0,0,0,0,1,5,21,237,601,1054,1573,1976,2452,2755,2924,3038,3130,3212,3227,3265,3310,3371,3442,3588,3847,3890,3941,4301,4382,4451,4579,4662,4714,4726,4744,,,,,,,
South Africa,SAF,06/03/2020,18/03/2020,310,0,0,0,0,7,202,1353,2003,3300,5647,10015,18003,32683,55421,92681,151209,250687,373628,493183,563598,599940,627041,644438,661211,674339,690896,706304,725452,740254,762763,790004,836764,921922,1057161,1231597,1369426,,,,,,,
Korea, South,KOR,22/01/2020,,0,11,27,104,3150,7513,8652,9786,10450,10674,10774,10909,11122,11503,11947,12421,12850,13373,13816,14336,14660,16670,20182,21919,23045,23889,24606,25424,26635,27799,30403,34652,40786,50591,61769,69114,73918,,,,,,,
South Sudan,SSD,05/04/2020,08/05/2020,259,0,0,0,0,0,0,0,4,4,35,120,290,994,1604,1882,2007,2021,2211,2322,2470,2494,2527,2555,2642,2704,2761,2847,2905,2960,3016,3109,3181,3228,3558,3649,3773,,,,,,,
Spain,ESP,01/02/2020,02/03/2020,326,0,2,2,45,1695,20410,95923,158273,200210,213435,224350,232555,239479,242280,245938,249271,253908,264836,288522,322980,377906,462858,554143,640040,769188,861112,988322,1185678,1381218,1556730,1648187,1720056,1797236,1928265,2050360,2412318,,,,,,,
Sri Lanka,LKA,27/01/2020,,0,1,1,1,1,1,73,143,190,304,663,863,1028,1633,1869,1950,2047,2454,2730,2815,2871,2918,3049,3155,3287,3380,4628,5811,10663,14715,19280,23987,30613,37261,43299,48380,55189,,,,,,,
Sudan,SDN,13/03/2020,20/04/2020,277,0,0,0,0,0,2,7,17,107,442,1365,2728,5026,6582,8580,9257,10204,10992,11644,11956,12582,13189,13437,13555,13640,13670,13724,13804,14155,15530,17810,20468,22823,23316,23316,26279,,,,,,,
Suriname,SUR,14/03/2020,06/06/2020,230,0,0,0,0,0,4,9,10,10,10,10,11,23,144,303,515,726,1079,1650,2489,3366,4034,4477,4723,4877,5035,5144,5203,5245,5289,5312,5337,5552,6210,7008,7783,,,,,,,
Sweden,SWE,01/02/2020,06/03/2020,322,0,1,1,14,424,1733,4834,10053,15124,21601,26846,32626,38661,47736,58597,67924,72459,74676,77076,79628,82656,84379,86194,88237,92863,98451,106380,124355,162240,208295,243129,312728,367120,437379,489471,537967,,,,,,,
Switzerland,CHE,25/02/2020,05/03/2020,323,0,0,0,18,491,5294,16605,24551,27944,29586,30305,30658,30862,31011,31243,31714,32690,33634,35232,36708,39026,42177,45711,49283,53282,60368,86167,154251,235202,290601,327072,368695,403989,452296,477983,504918,,,,,,,
Syria,SYR,22/03/2020,25/05/2020,242,0,0,0,0,0,0,10,19,39,43,47,58,122,152,198,279,394,522,757,1255,2008,2765,3416,3800,4200,4673,5180,5728,6352,7079,7887,8787,10195,11434,12364,13313,,,,,,,
Taiwan*,TWN,,,0,10,18,24,39,47,135,322,382,422,429,440,440,442,443,446,447,449,451,467,477,486,488,496,507,514,527,543,555,580,611,675,724,766,799,828,870,,,,,,,
