Entity,Code,Primo caso,Inizio epidemia,Giorni,31/01/20,10/02/20,20/02/20,29/02/20,10/03/20,20/03/20,31/03/20,10/04/20,20/04/20,30/04/20,10/05/20,20/05/20,31/05/20,10/06/20,20/06/20,30/06/20,10/07/20,20/07/20,31/07/20,10/08/20,20/08/20,31/08/20,10/09/20,20/09/20,30/09/20,10/10/20,20/10/20,31/10/20,10/11/20,20/11/20,30/11/20,10/12/20,20/12/20,31/12/20,10/01/21,20/01/21,31/01/21,10/02/21,20/02/21,28/02/21,10/03/21,20/03/21,31/03/21
Chile,CHL,23/02/2020,16/03/2020,312,0,0,0,2,25,461,2844,6695,11375,17702,33855,62205,123550,181062,236748,279393,309274,333029,355667,375044,391849,411726,428669,446274,462991,479595,494478,510256,523907,537585,551743,566440,585546,608973,641923,680740,,,,,,,
China,CHN,09/01/2020,22/01/2020,366,9802,42354,75077,79356,80887,81250,82279,82941,83817,83956,84010,84063,84146,84209,84553,84785,84992,85622,87655,88906,89567,89914,90127,90369,90545,90778,91022,91366,91719,91977,92902,94025,95050,95963,96824,98544,,,,,,,
Colombia,COL,06/03/2020,19/03/2020,309,0,0,0,0,3,158,906,2473,3977,6507,11063,17687,29383,43682,65633,97846,140776,204005,295508,397623,513719,615094,694664,765076,829679,902747,974139,1074184,1155356,1233444,1316806,1399911,1507222,1642775,1786900,1956979,,,,,,,
Comoros,COM,30/04/2020,30/05/2020,237,0,0,0,0,0,0,0,0,0,1,11,34,106,162,247,303,314,334,378,399,417,423,456,470,479,495,504,545,569,592,611,617,666,823,1150,1933,,,,,,,
Congo (Brazzaville),COG,15/03/2020,15/04/2020,282,0,0,0,0,0,3,19,60,160,220,274,420,611,728,883,1087,2028,2851,3200,3664,3850,3979,4891,4986,5089,5118,5156,5290,5379,5632,5774,6049,6200,7107,7127,7709,,,,,,,
Cook Islands,COK,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Costa Rica,CRI,06/03/2020,20/03/2020,308,0,0,0,0,9,89,347,558,662,719,792,897,1056,1461,2127,3459,6845,11534,17820,23872,31075,41287,52549,63712,75760,87439,97922,109971,118566,129418,139638,149815,157472,169321,177614,187712,,,,,,,
Cote d'Ivoire,CIV,11/03/2020,27/03/2020,301,0,0,0,0,0,9,179,444,847,1275,1700,2231,2833,4181,7276,9499,12052,14312,16047,16798,17249,18067,18869,19320,19724,20128,20342,20716,20847,21099,21331,21590,21918,22490,23750,25597,,,,,,,
Croatia,HRV,25/02/2020,19/03/2020,309,0,0,0,6,14,128,867,1495,1881,2076,2187,2234,2246,2249,2299,2777,3532,4370,5139,5649,7329,10269,12917,14922,16593,19932,26863,49316,70243,96837,128442,163992,194962,210837,219993,226550,,,,,,,
Cuba,CUB,12/03/2020,28/03/2020,300,0,0,0,0,0,16,186,564,1087,1501,1766,1900,2045,2211,2309,2341,2413,2446,2608,3046,3565,4032,4551,5091,5597,5948,6305,6887,7392,7763,8284,9181,10127,11863,14576,19122,,,,,,,
Cyprus,CYP,09/03/2020,23/03/2020,305,0,0,0,0,3,67,262,595,772,850,898,922,944,974,985,998,1013,1038,1114,1252,1395,1488,1517,1600,1755,1986,2839,4366,6296,8211,10565,13649,17688,22019,27350,29472,,,,,,,
Czechia,CZE,01/03/2020,12/03/2020,316,0,0,0,0,41,833,3308,5732,6900,7682,8123,8721,9268,9824,10448,11954,13001,14098,16574,18494,21045,24618,32413,49290,70763,114005,193946,335102,429880,487563,523298,563333,624140,718661,831165,909131,,,,,,,
Congo (Kinshasa),COD,11/03/2020,01/04/2020,296,0,0,0,0,0,18,98,215,332,572,991,1731,3070,4390,5672,7039,7905,8443,9070,9489,9757,10097,10343,10515,10659,10841,11066,11306,11642,12129,12772,13997,15495,17658,19436,21302,,,,,,,
Denmark,DNK,27/02/2020,10/03/2020,318,0,0,0,3,264,1337,3039,6014,7711,9356,10627,11315,11869,12216,12591,12968,13147,13466,14028,15135,16453,17410,19353,23353,28479,32575,36877,46863,57472,68878,81002,101027,134999,164116,182161,192187,,,,,,,
Djibouti,DJI,18/03/2020,08/04/2020,289,0,0,0,0,0,1,30,150,846,1089,1210,1828,3354,4373,4565,4682,4968,5020,5084,5347,5374,5387,5394,5403,5416,5423,5499,5561,5633,5660,5679,5717,5781,5831,5871,5913,,,,,,,
Dominica,DMA,22/03/2020,06/01/2021,16,0,0,0,0,0,0,12,16,16,16,16,16,16,18,18,18,18,18,18,18,18,20,24,24,30,32,33,50,63,68,85,85,88,88,106,113,,,,,,,
Dominican Republic,DOM,01/03/2020,21/03/2020,307,0,0,0,0,5,72,1109,2620,4964,6972,10347,13477,17285,20808,25778,32568,41915,53956,69649,80499,89010,94715,101716,108289,112209,118014,121973,127018,131131,136784,143988,151721,160386,170785,182103,198123,,,,,,,
Ecuador,ECU,01/03/2020,17/03/2020,311,0,0,0,0,15,367,2240,7161,10128,24934,29559,34854,39098,44440,49731,56432,65018,74620,85355,94701,105508,113767,113206,126419,137047,146828,154115,168192,175711,183840,192685,200379,206257,212512,221070,234315,,,,,,,
Egypt,EGY,14/02/2020,14/03/2020,314,0,0,1,1,59,285,710,1794,3333,5537,9400,14229,24985,38284,53758,68311,80235,88402,94078,95666,97025,98939,100557,102015,103198,104387,105705,107555,109654,112318,115911,120147,125555,138062,149792,158963,,,,,,,
El Salvador,SLV,19/03/2020,09/04/2020,288,0,0,0,0,0,1,32,117,218,395,889,1571,2517,3274,4475,6438,9142,12207,16632,20872,23964,25729,26688,27553,29077,29951,31975,33445,35145,37250,38405,40741,43477,45960,48905,51437,,,,,,,
Equatorial Guinea,GNQ,15/03/2020,24/04/2020,273,0,0,0,0,0,6,12,18,79,315,439,890,1306,1306,1664,2001,3071,3071,4821,4821,4892,4941,4990,5002,5030,5063,5074,5088,5102,5121,5153,5183,5214,5277,5289,5365,,,,,,,
Eritrea,ERI,21/03/2020,15/06/2020,221,0,0,0,0,0,0,15,34,39,39,39,39,39,41,143,203,232,251,279,285,306,319,361,364,375,414,452,463,491,527,577,656,754,1320,1556,1910,,,,,,,
Estonia,EST,27/02/2020,14/03/2020,314,0,0,0,1,12,283,745,1258,1535,1689,1739,1794,1869,1958,1981,1989,2013,2021,2064,2158,2227,2375,2600,2924,3371,3846,4127,4905,6376,9076,12308,16598,21794,27990,33516,38544,,,,,,,
Eswatini,SWZ,14/03/2020,30/04/2020,267,0,0,0,0,0,1,9,12,24,100,172,217,285,398,627,812,1257,1826,2648,3309,4110,4577,4994,5269,5482,5660,5800,5917,6024,6185,6419,6633,7427,9358,11435,13789,,,,,,,
Ethiopia,ETH,13/03/2020,18/04/2020,279,0,0,0,0,0,9,26,65,111,131,239,389,1172,2506,4469,5846,7120,10207,17530,23591,35836,52131,62578,68820,75368,83429,90490,96169,100327,104879,110074,115360,119951,124264,128316,132034,,,,,,,
Fiji,FJI,19/03/2020,,0,0,0,0,0,0,1,5,16,18,18,18,18,18,18,18,18,26,27,27,27,28,28,32,32,32,32,32,34,34,35,42,44,46,49,53,55,,,,,,,
Finland,FIN,29/01/2020,,0,1,1,1,3,40,450,1418,2769,3868,4995,5962,6443,6859,7040,7142,7214,7279,7340,7432,7601,7842,8086,8469,8980,9992,11849,13849,16113,18107,20747,24912,29572,33162,36107,38590,41166,,,,,,,
France,FRA,24/01/2020,29/02/2020,328,5,11,12,100,1783,12758,52278,56600,154402,168861,178405,183130,190975,194815,200147,204244,210134,216089,227239,242168,269335,321160,394328,493500,605893,761441,975213,1414364,1881171,2161968,2276874,2393590,2529756,2677666,2840864,3023661,,,,,,,
Gabon,GAB,14/03/2020,17/04/2020,280,0,0,0,0,0,3,16,44,120,276,661,1567,2655,3375,4428,5394,5942,6433,7352,8006,8319,8533,8621,8696,8766,8835,8884,8968,9029,9131,9214,9300,9400,9571,9694,10120,,,,,,,
Gambia,GMB,17/03/2020,20/07/2020,186,0,0,0,0,0,1,4,4,10,11,20,24,25,28,37,49,64,112,498,1235,2401,2963,3330,3526,3579,3628,3655,3672,3696,3706,3742,3777,3786,3797,3857,3938,,,,,,,
Georgia,GEO,26/02/2020,30/03/2020,298,0,0,0,1,15,43,110,234,402,539,635,713,783,827,898,928,973,1039,1168,1250,1370,1487,1830,3502,6192,11271,19857,38936,63650,96860,135584,178953,208638,227420,239229,249934,,,,,,,
Germany,DEU,27/01/2020,01/03/2020,327,5,14,16,79,1457,19848,71808,122171,147065,163009,171879,178473,183410,186522,190670,195418,199332,203325,210399,218508,231292,244802,258149,273965,292913,323463,385591,531790,715693,914118,1069912,1287092,1514962,1760520,1929410,2100618,,,,,,,
Ghana,GHA,14/03/2020,26/03/2020,302,0,0,0,0,0,16,161,378,1042,2074,4263,6269,8070,10201,13717,17741,23834,28430,35501,41212,43260,44298,45313,46004,46626,47005,47461,48055,49302,50631,51667,52738,53653,54771,55772,58431,,,,,,,
Greece,GRC,26/02/2020,13/03/2020,315,0,0,0,4,89,495,1314,2011,2245,2591,2716,2850,2917,3068,3256,3409,3732,4012,4477,5749,7934,10317,12452,15142,18475,22078,26469,39251,60570,87812,105271,121253,131072,138850,144738,149973,,,,,,,
Grenada,GRD,22/03/2020,20/12/2020,33,0,0,0,0,0,0,9,14,14,20,21,22,23,23,23,23,23,23,24,24,24,24,24,24,24,24,27,28,32,41,41,43,103,127,127,139,,,,,,,
Guam,GUM,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Guatemala,GTM,14/03/2020,10/04/2020,287,0,0,0,0,0,12,38,126,289,599,1052,2265,5087,8221,12755,18096,27619,39039,49789,56987,65983,74074,80306,85444,91746,97544,102219,107939,112129,117757,122062,127786,132765,138012,143243,151324,,,,,,,
Guinea,GIN,13/03/2020,04/04/2020,293,0,0,0,0,0,1,22,212,622,1495,2146,2863,3706,4258,4960,5391,5969,6590,7308,7930,8876,9409,9946,10325,10652,10996,11538,12072,12484,12743,13119,13368,13545,13722,13942,14207,,,,,,,
Guinea-Bissau,GNB,25/03/2020,29/04/2020,268,0,0,0,0,0,0,8,36,50,205,726,1089,1256,1389,1541,1654,1842,1949,1981,2052,2149,2205,2275,2303,2324,2385,2403,2413,2419,2421,2441,2444,2447,2452,2478,2510,,,,,,,
Guyana,GUY,12/03/2020,10/05/2020,257,0,0,0,0,0,7,12,37,65,82,104,125,153,156,183,245,290,337,413,568,846,1306,1750,2269,2894,3405,3796,4162,4530,5005,5406,5811,6125,6332,6574,7015,,,,,,,
Haiti,HTI,20/03/2020,04/05/2020,263,0,0,0,0,0,2,15,31,57,81,182,596,2124,3796,5077,5975,6617,7053,7424,7634,7997,8224,8429,8619,8766,8860,8976,9057,9137,9211,9294,9434,9674,10015,10272,10963,,,,,,,
Honduras,HND,11/03/2020,29/03/2020,299,0,0,0,0,0,24,141,382,477,771,1972,2955,5202,7360,12306,19558,27053,34611,42014,47872,52819,61014,65802,71616,76900,83146,90232,96888,100804,103551,108253,113207,117022,121827,127945,136898,,,,,,,
Hungary,HUN,04/03/2020,21/03/2020,307,0,0,0,0,9,85,492,1190,1984,2775,3263,3598,3876,4027,4086,4155,4223,4339,4505,4731,5046,6139,10191,17990,26461,36596,48757,75321,118918,165901,217122,265003,302989,322514,342237,354252,,,,,,,
Iceland,ISL,28/02/2020,12/03/2020,316,0,0,0,1,69,409,1135,1675,1773,1797,1801,1803,1806,1807,1815,1824,1833,1839,1885,1962,2040,2107,2157,2307,2728,3460,4193,4865,5114,5251,5392,5524,5642,5754,5890,5975,,,,,,,
India,IND,30/01/2020,14/03/2020,314,1,3,3,3,56,244,1397,7598,18539,34863,67161,112028,190609,286605,410451,585481,820916,1155338,1695988,2268675,2905825,3691166,4562414,5487580,6312584,7053806,7651107,8184082,8636011,9050597,9462809,9796744,10055560,10266674,10466595,10610883,,,,,,,
Indonesia,IDN,02/03/2020,15/03/2020,313,0,0,0,0,27,369,1528,3512,6760,10118,14032,19189,26473,34316,45029,56385,72347,88214,108376,127083,147211,174796,207203,244676,287008,328952,368842,410088,444348,488310,538883,598933,664930,743198,828026,939948,,,,,,,
Iran,IRN,19/02/2020,26/02/2020,331,0,0,5,593,8042,19644,44605,68192,83505,94640,107603,126949,151466,177938,202584,227662,252720,276202,304204,328844,352558,375212,395488,422140,457219,496253,539670,612772,703288,828377,962070,1083023,1158384,1225142,1286406,1348316,,,,,,,
Iraq,IRQ,24/02/2020,13/03/2020,315,0,0,0,13,71,208,694,1279,1574,2085,2767,3724,6439,15414,29222,49109,72460,94693,124609,153599,192797,234934,278418,319035,362981,400124,434598,472630,505310,531769,552549,571253,584145,595291,602938,610598,,,,,,,
Ireland,IRL,29/02/2020,14/03/2020,314,0,0,0,1,34,683,3235,8089,15652,20612,22996,24315,24990,25231,25374,25473,25589,25766,26065,26768,27676,28811,30360,32933,36155,41714,52256,61456,65889,69802,72544,75203,79542,91779,147613,179324,,,,,,,
Israel,ISR,21/02/2020,12/03/2020,316,0,0,0,6,88,628,5717,10607,14112,15896,16388,16607,17079,18476,20676,25438,36932,52434,71734,85109,99836,116906,146351,188251,247411,289974,306397,314349,320811,328129,337191,352397,374760,423262,491319,575842,,,,,,,
Italy,ITA,31/01/2020,23/02/2020,334,2,3,3,1128,10149,47021,105792,147577,181228,205463,219070,227364,232997,235763,238275,240578,242639,244624,247537,250825,256118,269214,283180,298156,314861,349494,434449,679430,995463,1345767,1601554,1787147,1953185,2107166,2276491,2414166,,,,,,,
Jamaica,JAM,11/03/2020,15/04/2020,282,0,0,0,0,0,16,36,63,223,422,502,529,586,605,657,702,753,809,878,1031,1290,2459,3511,4988,6482,7559,8374,9094,9573,10151,10763,11443,12224,12827,13548,14487,,,,,,,
Japan,JPN,22/01/2020,21/02/2020,336,15,26,95,245,585,1022,2255,6250,11258,14284,15824,16321,16751,17146,17725,18615,21044,25706,36234,49617,59900,68396,73916,79142,83591,88962,93895,101327,110487,128285,148962,172406,199270,235811,288818,346508,,,,,,,
Jordan,JOR,03/03/2020,21/03/2020,307,0,0,0,0,1,85,274,372,425,453,540,672,739,863,1015,1132,1173,1223,1193,1268,1498,2034,2739,4779,11825,23998,40972,72607,120982,174335,219430,253121,274949,294494,307209,317405,,,,,,,
Kazakhstan,KAZ,13/03/2020,21/03/2020,307,0,0,0,0,0,49,343,812,1852,3402,5090,6969,10858,13319,17225,22308,56455,73468,90367,112722,124356,130673,135159,138348,140707,143280,145603,149699,156451,165558,174563,183630,191650,201196,209369,219527,,,,,,,
Kenya,KEN,13/03/2020,26/03/2020,302,0,0,0,0,0,7,59,189,281,396,672,1029,1962,3094,4478,6366,9448,13771,20636,26928,31441,34201,35603,36981,38529,41158,45647,55192,64588,75193,83618,90305,94500,96458,98271,99444,,,,,,,
Kiribati,KIR,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Kuwait,KWT,24/02/2020,13/03/2020,315,0,0,0,45,69,159,289,993,1995,4024,8688,17568,27043,33823,39145,46195,53580,59763,66957,72400,78767,85109,92822,99434,105182,110568,117718,125926,133381,139308,142635,145495,147979,150584,154314,159264,,,,,,,
Kyrgyzstan,KGZ,18/03/2020,31/03/2020,297,0,0,0,0,0,6,107,298,568,746,1002,1270,1748,2093,2981,5506,9910,27143,35805,40085,42507,43898,44684,45335,46669,48924,52910,58878,64360,68702,73178,76391,79254,81034,82273,83430,,,,,,,
Laos,LAO,24/03/2020,,0,0,0,0,0,0,0,9,16,19,19,19,19,19,19,19,19,19,19,20,20,22,22,22,23,23,23,23,24,24,25,39,41,41,41,41,41,,,,,,,
Latvia,LVA,02/03/2020,20/03/2020,308,0,0,0,0,8,111,398,612,739,858,939,1016,1066,1092,1111,1118,1165,1192,1231,1290,1327,1396,1448,1525,1824,2596,3609,5894,8395,12102,17075,23706,30940,40904,49568,57808,,,,,,,
Lebanon,LBN,21/02/2020,15/03/2020,313,0,0,0,4,41,163,470,609,677,725,845,961,1220,1388,1536,1778,2082,2905,4555,6812,10952,17308,22437,29303,39634,52558,64336,81228,96907,113655,127944,142187,158104,181503,219296,264647,,,,,,,
Lesotho,LSO,13/05/2020,09/07/2020,197,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,27,184,359,604,781,996,1085,1164,1424,1595,1800,1918,1953,2026,2066,2109,2178,2546,3094,5937,7035,,,,,,,
Liberia,LBR,16/03/2020,21/04/2020,276,0,0,0,0,0,2,3,37,99,141,199,238,288,397,601,780,963,1107,1186,1240,1284,1304,1315,1335,1343,1363,1384,1426,1461,1551,1595,1676,1779,1779,1779,1901,,,,,,,
Libya,LBY,24/03/2020,28/05/2020,239,0,0,0,0,0,0,10,24,51,61,64,69,156,378,544,824,1342,1980,3621,5929,9707,13966,20939,27949,34525,41686,50906,61095,70010,76808,82809,89183,94560,100277,104745,111124,,,,,,,
Liechtenstein,LIE,04/03/2020,24/08/2020,151,0,0,0,0,1,28,68,79,81,82,82,82,82,82,82,82,84,86,88,89,99,107,109,113,118,142,235,533,846,1094,1270,1441,1758,2136,2340,2405,,,,,,,
Lithuania,LTU,28/02/2020,22/03/2020,306,0,0,0,1,1,49,537,999,1326,1385,1479,1577,1675,1733,1795,1817,1861,1947,2075,2265,2528,2906,3199,3744,4693,5963,7928,14824,26841,42757,61325,83883,112359,140579,159672,172060,,,,,,,
Luxembourg,LUX,29/02/2020,17/03/2020,311,0,0,0,1,5,484,2178,3223,3558,3784,3886,3971,4018,4049,4105,4299,4777,5639,6695,7216,7637,6625,7088,7718,8509,9514,11241,17134,23710,29762,34678,40037,43728,46415,47744,49204,,,,,,,
Macao,MAC,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Madagascar,MDG,20/03/2020,11/04/2020,286,0,0,0,0,0,3,57,93,121,128,193,371,771,1162,1503,2214,4143,7153,10868,13202,14154,14863,15624,16053,16408,16702,16810,17111,17223,17310,17341,17473,17633,17714,18001,18301,,,,,,,
Malawi,MWI,02/04/2020,25/05/2020,242,0,0,0,0,0,0,0,9,17,37,56,71,284,455,620,1224,2069,2992,4078,4674,5282,5566,5655,5731,5773,5821,5861,5930,5953,6003,6028,6051,6161,6583,8575,14851,,,,,,,
Malaysia,MYS,25/01/2020,09/03/2020,319,8,18,22,25,129,1030,2766,4346,5425,6002,6656,7009,7819,8338,8556,8639,8696,8800,8976,9094,9240,9340,9628,10219,11224,15096,22225,31548,42050,52638,65697,78499,93309,113010,135992,169379,,,,,,,
Maldives,MDV,08/03/2020,23/04/2020,274,0,0,0,0,6,13,18,19,69,468,835,1186,1773,1962,2187,2361,2617,2999,3793,5157,6370,7804,8900,9724,10291,10859,11271,11659,12030,12546,13011,13308,13493,13757,14109,14712,,,,,,,
Mali,MLI,25/03/2020,12/04/2020,285,0,0,0,0,0,0,28,87,246,490,704,931,1265,1667,1933,2181,2404,2475,2535,2573,2667,2776,2909,3013,3118,3273,3411,3554,3745,4169,4710,5576,6191,7090,7600,7897,,,,,,,
Malta,MLT,07/03/2020,23/03/2020,305,0,0,0,0,5,64,169,350,431,465,496,584,618,635,664,670,674,677,824,1112,1510,1883,2204,2731,3058,3681,4871,6042,7396,8681,9873,10884,11714,12774,14396,16129,,,,,,,
Marshall Islands,MHL,28/10/2020,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,4,4,4,4,4,4,,,,,,,
Mauritania,MRT,14/03/2020,19/05/2020,248,0,0,0,0,0,2,6,7,7,8,8,141,530,1283,2813,4363,5203,5923,6310,6555,6848,7048,7222,7368,7502,7550,7634,7703,7848,8075,8601,10268,12418,14364,15512,16212,,,,,,,
Mauritius,MUS,18/03/2020,28/03/2020,300,0,0,0,0,0,12,143,318,328,332,332,332,335,337,337,341,342,343,344,344,346,356,361,366,381,395,419,441,453,494,504,515,524,527,539,556,,,,,,,
Mexico,MEX,28/02/2020,19/03/2020,309,0,0,0,4,7,203,1215,3844,8772,19224,35022,56594,90664,129184,175202,226089,289174,349396,424637,485836,543806,599560,652364,697663,743216,814328,860714,924962,978531,1025969,1113543,1217126,1320545,1426094,1534039,1688944,,,,,,,
Micronesia,FSM,21/01/2021,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Moldova,MDA,08/03/2020,23/03/2020,305,0,0,0,0,3,66,353,1438,2548,3897,4927,6553,8251,10321,13953,16613,18924,21115,24733,27841,31937,36920,41704,46596,53042,61762,67958,76040,83592,95383,107364,122685,135207,144818,149391,154118,,,,,,,
Monaco,MCO,20/02/2020,12/08/2020,163,0,0,0,1,1,11,52,90,94,95,96,97,99,99,99,103,108,109,120,133,150,154,165,193,218,233,271,359,512,577,609,657,728,875,1057,1262,,,,,,,
Mongolia,MNG,10/03/2020,16/05/2020,251,0,0,0,0,1,6,12,16,33,38,42,140,179,194,206,220,227,287,291,293,298,304,311,312,313,315,327,346,382,578,801,905,993,1220,1442,1584,,,,,,,
Montenegro,MNE,17/03/2020,31/03/2020,297,0,0,0,0,0,14,109,255,312,322,324,324,324,324,359,548,1019,2188,3073,3696,4229,4835,6222,8612,10772,13641,15892,18341,24154,30079,35265,40165,43955,48247,52431,56579,,,,,,,
Morocco,MAR,02/03/2020,22/03/2020,306,0,0,0,0,3,77,617,1448,3046,4423,6063,7133,7807,8508,9839,12533,15328,17562,24322,34063,47638,62590,79767,101743,123653,149841,179003,219084,265165,316260,356336,391529,417125,439193,452532,462542,,,,,,,
Mozambique,MOZ,22/03/2020,11/05/2020,256,0,0,0,0,0,0,8,20,39,76,91,156,254,472,688,889,1111,1507,1864,2411,3115,3916,4832,6771,8728,9844,11190,12869,13892,14877,15701,16521,17568,18642,21939,29396,,,,,,,
Burma,MMR,27/03/2020,19/04/2020,278,0,0,0,0,0,0,15,27,119,151,180,199,224,248,287,299,326,341,353,360,399,882,2150,5805,13373,26064,38502,52706,63241,76414,90713,104487,116134,124630,130604,135721,,,,,,,
Namibia,NAM,14/03/2020,25/06/2020,211,0,0,0,0,0,3,11,16,16,16,16,16,24,31,46,205,668,1344,2129,3101,4912,7550,9256,10377,11265,11891,12367,12935,13253,13712,14380,15773,18714,23941,28259,31253,,,,,,,
Nauru,NRU,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Nepal,NPL,25/01/2020,07/05/2020,260,1,1,1,1,1,1,5,9,31,57,110,427,1572,4364,8605,13564,16649,17844,19771,23310,29645,39460,50465,64122,77817,105684,139129,170743,199760,216965,233452,245650,253772,260593,264780,268310,,,,,,,
New Zealand,NZL,28/02/2020,22/03/2020,306,0,0,0,1,5,39,647,1283,1440,1479,1497,1503,1504,1504,1511,1528,1543,1555,1562,1570,1665,1752,1793,1815,1848,1871,1912,1959,1988,2019,2059,2092,2121,2162,2222,2267,,,,,,,
Nicaragua,NIC,19/03/2020,19/05/2020,248,0,0,0,0,0,1,5,7,10,14,16,254,759,1464,1823,2519,2846,3147,3672,3902,4311,4494,4818,4961,5170,5264,5434,5514,5661,5725,5784,5887,5938,6046,6097,6204,,,,,,,
Niger,NER,20/03/2020,03/04/2020,294,0,0,0,0,0,1,27,438,648,719,821,920,958,974,1035,1075,1099,1105,1134,1158,1169,1176,1178,1188,1197,1201,1212,1220,1256,1340,1548,2126,2659,3323,3877,4249,,,,,,,
Nigeria,NGA,28/02/2020,29/03/2020,299,0,0,0,1,2,12,135,305,665,1932,4399,6677,10162,13873,19808,25694,31323,37225,43151,46867,50964,54008,55829,57242,58848,60103,61630,62853,64336,65982,67557,71344,78434,87607,100087,114691,,,,,,,
Niue,NIU,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
North Korea,PRK,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
North Macedonia,MKD,26/02/2020,22/03/2020,306,0,0,0,1,7,67,329,711,1225,1465,1642,1858,2226,3364,5005,6334,7777,9249,10754,11942,13194,14341,15414,16735,17977,20555,24196,31572,41222,52449,61878,70883,78305,83329,86494,89463,,,,,,,
Northern Mariana Islands,MNP,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Norway,NOR,26/02/2020,06/03/2020,322,0,0,0,15,400,1914,4641,6314,7156,7738,8105,8281,8440,8594,8742,8879,8974,9034,9240,9684,10197,10782,11867,12897,14027,15466,16772,20331,25887,32014,36150,40023,43905,49567,55474,59887,,,,,,,
Oman,OMN,24/02/2020,26/03/2020,302,0,0,0,6,18,48,192,484,1410,2348,3399,6043,11437,18887,28566,40070,53614,68400,79159,81787,83769,85722,88337,93475,98585,104129,111033,114434,118884,121360,123699,125669,127667,128867,130608,132317,,,,,,,
Pakistan,PAK,25/02/2020,16/03/2020,312,0,0,0,4,19,730,2118,5011,9565,18114,32081,48091,72460,119536,176617,213470,246351,266096,278305,284660,290958,295849,300371,306304,312806,318932,324744,333970,348184,371508,400482,432327,458968,482178,504293,527146,,,,,,,
Palau,PLW,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
West Bank and Gaza,PSE,06/03/2020,29/03/2020,299,0,0,0,0,26,47,119,267,329,344,375,398,448,485,784,2428,5551,8916,11837,14510,17989,22729,28664,35686,39899,43945,48129,53520,59422,68768,85647,104879,122643,138004,147400,153590,,,,,,,
Panama,PAN,10/03/2020,18/03/2020,310,0,0,0,0,1,137,1181,2752,4467,6532,8448,9977,13463,17889,25222,33550,43257,54426,65256,75394,83855,92982,99715,106203,112595,119666,125739,133598,141302,152289,165806,185424,212339,246790,279196,303777,,,,,,,
Papua New Guinea,PNG,20/03/2020,02/08/2020,173,0,0,0,0,0,1,1,2,7,8,8,8,8,8,8,11,11,19,72,214,361,459,507,517,534,549,581,589,599,604,656,684,760,780,811,835,,,,,,,
Paraguay,PRY,08/03/2020,05/04/2020,292,0,0,0,0,1,13,65,129,208,266,713,833,986,1202,1362,2221,2736,3748,5338,7234,11817,17662,25631,33520,40758,48978,56073,63185,68497,75058,82424,90958,99789,107932,115733,124447,,,,,,,
Peru,PER,06/03/2020,17/03/2020,311,0,0,0,0,11,234,1065,5897,16325,36976,67307,104020,164476,208823,251338,285213,319646,357681,407492,483133,558420,647166,702776,762865,811768,846088,870876,900180,923527,943917,962530,979111,995899,1015137,1026180,1073214,,,,,,,
Philippines,PHL,30/01/2020,14/03/2020,314,1,3,3,3,33,230,2084,4195,6459,8488,10794,13221,18086,23732,29400,37514,52914,68898,93354,136638,178022,220819,248947,286743,311694,336926,360775,380729,399749,415067,431630,445540,459789,474064,487690,505939,,,,,,,
