Continent,Entity,Code,Date,Confirmed,Deaths
North America,Saint Lucia,LCA,30/11/2021,13000,280
North America,Saint Vincent and the Grenadines,VCT,30/11/2021,5525,74
,Samoa,WSM,30/11/2021,3,0
Europe,San Marino,SMR,30/11/2021,6039,93
,Sao Tome and Principe,STP,30/11/2021,3731,56
Asia,Saudi Arabia,SAU,30/11/2021,549752,8836
Africa,Senegal,SEN,30/11/2021,73987,1885
Europe,Serbia,SRB,30/11/2021,1254845,11691
,Seychelles,SYC,30/11/2021,23417,125
Africa,Sierra Leone,SLE,30/11/2021,6402,121
Asia,Singapore,SGP,30/11/2021,264725,718
Europe,Slovakia,SVK,30/11/2021,1170200,14418
Europe,Slovenia,SVN,30/11/2021,420898,5224
,Solomon Islands,SLB,30/11/2021,20,0
Africa,Somalia,SOM,30/11/2021,23016,1327
Africa,South Africa,ZAF,30/11/2021,2968052,89843
Asia,South Korea,KOR,30/11/2021,452350,3659
Africa,South Sudan,SSD,30/11/2021,12758,133
Europe,Spain,ESP,30/11/2021,5164184,88052
Asia,Sri Lanka,LKA,30/11/2021,563989,14346
Africa,Sudan,SDN,30/11/2021,43084,3159
,Suriname,SUR,30/11/2021,50848,1167
Europe,Sweden,SWE,30/11/2021,1204859,15151
Europe,Switzerland,CHE,30/11/2021,1014662,11522
Asia,Syria,SYR,30/11/2021,48170,2749
Asia,Taiwan,TWN,30/11/2021,16601,848
,Tajikistan,TJK,30/11/2021,17493,125
Africa,Tanzania,TZA,30/11/2021,26270,730
Asia,Thailand,THA,30/11/2021,2115872,20771
,Timor-Leste,TLS,30/11/2021,19823,122
,Togo,TGO,30/11/2021,26265,243
,Tokelau,TKL,30/11/2021,0,0
,Tonga,TON,30/11/2021,1,0
North America,Trinidad and Tobago,TTO,30/11/2021,71361,2158
Africa,Tunisia,TUN,30/11/2021,717572,25373
Asia,Turkey,TUR,30/11/2021,8797558,76842
,Turkmenistan,TKM,30/11/2021,0,0
,Tuvalu,TUV,30/11/2021,0,0
Africa,Uganda,UGA,30/11/2021,127550,3252
Europe,Ukraine,UKR,30/11/2021,3606622,91268
Asia,United Arab Emirates,ARE,30/11/2021,742041,2147
Europe,United Kingdom,UK,30/11/2021,10285745,145414
,United States Virgin Islands,VIR,30/11/2021,0,0
South America,Uruguay,URY,30/11/2021,399695,6131
North America,United States,USA,30/11/2021,48554890,780140
Asia,Uzbekistan,UZB,30/11/2021,193208,1402
,Vanuatu,VUT,30/11/2021,6,1
Europe,Vatican,VAT,30/11/2021,27,0
South America,Venezuela,VEN,30/11/2021,431296,5144
Asia,Vietnam,VNM,30/11/2021,1238082,25252
Africa,Western Sahara,ESH,30/11/2021,0,0
,Yemen,YEM,30/11/2021,10004,1950
Africa,Zambia,ZMB,30/11/2021,210169,3667
Africa,Zimbabwe,ZWE,30/11/2021,134625,4707
